date,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2018-06-15,30018.329905,196192096.14553952,184938.0,16192.452447,105856682.82114992
2018-06-16,22277.241147,143760033.69408152,140470.0,12750.635784,82290350.53863607
2018-06-17,19847.247688,129120718.76299886,129759.0,11208.656933,72949865.16298054
2018-06-18,31821.434995,208570443.9599789,180773.0,17674.592693,115843959.76406445
2018-06-19,24311.421143,163420093.794135,160490.0,12849.740659,86385611.9854134
2018-06-20,26359.752452,175935335.65057912,166074.0,13647.933531,91142872.89139906
2018-06-21,25428.854048,171149859.23602843,159783.0,15152.496274,101995867.72331426
2018-06-22,52157.370833,327460666.91451645,300515.0,25336.720438,158994318.27114403
2018-06-23,26622.788589,162755765.84514263,170164.0,15110.741399,92413061.16412096
2018-06-24,47445.998955,284095336.0578902,275996.0,25966.417247,155558130.88157263
2018-06-25,39164.515306,242859915.8036461,218384.0,21986.057384,136305269.99012783
2018-06-26,19377.240484,119676555.56449406,113431.0,9824.659592,60710073.42453224
2018-06-27,19225.671098,117103011.80356832,99481.0,10381.014136,63236432.02491027
2018-06-28,30585.266026,185247010.87925187,156241.0,16422.378159,99598694.73730522
2018-06-29,33911.287278,201409363.91549844,212542.0,18727.192128,111291346.32526273
2018-06-30,37919.61284,241568568.0310778,230915.0,20036.025726,127666717.38353091
2018-07-01,27562.965974,175096501.49486908,183060.0,15580.033848,98972791.71265252
2018-07-02,36230.452264,235524330.64865336,242589.0,18966.910907,123205676.19274496
2018-07-03,38657.781691,254550438.1376888,232914.0,20503.625399,135047837.81678846
2018-07-04,23571.892777,156277884.33011597,146203.0,12244.070908,81263604.85511883
2018-07-05,35071.972898,230809190.3074052,216533.0,19214.780702,126481460.0087366
2018-07-06,29397.094748,192230903.67599213,193854.0,16292.945157,106560209.09449027
2018-07-07,23973.876886,158034155.17779142,145449.0,12894.823579,85004234.47737303
2018-07-08,24622.947794,165941351.79836008,145349.0,13146.632642,88613261.77225646
2018-07-09,26732.40655,179250573.66648534,147315.0,14384.135477,96490394.6402318
2018-07-10,38560.672702,249099760.1897497,189913.0,19261.135859,124490444.6988554
2018-07-11,28715.498487,182357469.0280709,151869.0,15667.909412,99524638.10405175
2018-07-12,31306.663348,194325733.7875043,150985.0,16067.766611,99754110.04002684
2018-07-13,26375.325286,164467999.80925834,144757.0,13191.157016,82276362.81213073
2018-07-14,17783.071999,110959488.24719918,108052.0,9833.313029,61362055.0050005
2018-07-15,22979.211508,145409822.7448766,114997.0,13590.240175,85970280.535022
2018-07-16,36204.87708,237104112.4504954,201733.0,20149.634808,131922164.85268562
2018-07-17,52105.423459,364669305.0369064,276178.0,28049.11657,195977152.69184417
2018-07-18,59487.64345,440669913.2083524,327949.0,31196.382316,231133137.3680125
2018-07-19,41218.256437,305198281.1394862,235597.0,22682.956421,167927663.73101327
2018-07-20,46140.313447,342862693.0959096,251391.0,24006.584622,178428687.4942052
2018-07-21,28886.490291,212126417.2287315,164901.0,16427.382562,120688066.37566295
2018-07-22,30270.21844,225619234.83744207,144711.0,17086.758292,127390550.71923564
2018-07-23,41646.346671,320156546.58240986,219776.0,22756.449926,174955411.03556776
